108,2565,The Return of Sherlock Holmes
51135,872,The Most Extra Ordinary Trial of William Palmer: for the Rugeley Poisonings, which lasted Twelve Days
221,601,The Return of Sherlock Holmes
2360,470,The Riddle of the Sands
3726,389,The Decameron, Volume I
50907,372,The Anatomy of Suicide
13144,365,Medieval People
1056,336,Martin Eden
51003,324,Poems, Volume 2 (of 3)
752,313,A Young Girl's Diary
11659,239,The World's Greatest Books — Volume 08 — Fiction
10616,189,An Essay Concerning Humane Understanding, Volume 2: MDCXC, Based on the 2nd Edition, Books 3 and 4
26638,172,Pictorial Composition and the Critical Judgment of Pictures
48433,154,Kant's Critique of Judgement
1561,151,Pagan and Christian Creeds: Their Origin and Meaning