10002,The House on the Borderland,William Hope Hodgson,english
10002,The House on the Borderland,William Hope Hodgson,english
10002,The House on the Borderland,William Hope Hodgson,english
10003,My First Years As A Frenchwoman, 1876-1879,Mary King Waddington,english
10011,365 Foreign Dishes,Unknown,english
10012,The Mountains of California,John Muir,english
10009,Wild Northern Scenes,S. H. Hammond,english
10007,Carmilla,J. Sheridan LeFanu,english
10031,Edgar Allan Poe's Complete Poetical Works,Edgar Allan Poe,english
10008,The Mystery,Stewart Edward White and Samuel Hopkins Adams,english
10004,The Warriors,Lindsay, Anna Robertson Brown,english
10079,The Atlantic Monthly, Volume 2, Number 9, July, 1858,Various,english
10101,A Little Boy Lost,Hudson, W. H.,english
10048,Billie Bradley and Her Inheritance,Janet D. Wheeler,english
10100,Byron,John Nichol,english
10049,Old Lady Mary,Margaret O. (Wilson) Oliphant,english
10102,The Czar's Spy,William Le Queux,english
10103,The Great Events by Famous Historians, Vol. 8,Editor-in-Chief: Rossiter Johnson,english
10107,With British Guns in Italy,Hugh Dalton,english
10110,The Postmaster's Daughter,Louis Tracy,english
10109,The Unspeakable Gentleman,John P. Marquand,english
1005,Hell,Dante Alighieri,english
1006,The Divine Comedy of Dante:  Purgatory,Dante Alighieri,english
1001,Divine Comedy, Longfellow's Translation, Hell,Dante Alighieri,english
10027,The Triple Alliance,Harold Avery,english
10119,Adonais,Shelley,english
1014,The Lure of the Dim Trails,by (AKA B. M. Sinclair) B. M. Bower,english
1019,Poems,(AKA Charlotte, Emily and Anne Bronte) Currer, Ellis, and Acton Bell,english
10120,England of My Heart--Spring,Edward Hutton,english
10123,Aunt Jane's Nieces,Edith Van Dyne,english
10124,Aunt Jane's Nieces and Uncle John,Edith Van Dyne,english
10127,Abducted to Oz,Bob Evans and Chris Dulabone,english
10126,Home-Life of the Lancashire Factory Folk during the Cotton Famine,Edwin Waugh,english
10030,The Life of Hon. William F. Cody,William F. Cody,english
10029,The Hunt Ball Mystery,Magnay, William,english
10125,The Best Letters of Charles Lamb,Charles Lamb,english
10080,Mobilizing Woman-Power,Harriot Stanton Blatch,english
10024,Beneath the Banner,F. J. Cross,english
10051,The Little Pilgrim: Further Experiences.,Margaret O. (Wilson) Oliphant,english
10050,A Little Pilgrim,Margaret O. (Wilson) Oliphant,english
10021,Tenterhooks,Ada Leverson,english
10020,The Strand Magazine: Volume VII, Issue 37. January, 1894.,Edited by George Newnes,english
1007,The Divine Comedy of Dante:  Paradise,Dante Alighieri,english
10128,The Great Events by Famous Historians, Vol. 17,Charles Francis Horne,english
10025,Gaslight Sonatas,Fannie  Hurst,english
10118,The Folk-lore of Plants,T. F. Thiselton-Dyer,english
10131,Required Poems for Reading and Memorizing,Anonymous,english
10121,Oriental Literature,Anonymous,english
10067,The Mystery Of The Boule Cabinet,Burton Egbert Stevenson,english
10135,The Great English Short-Story Writers, Vol. 1,Various,english
10132,The Sowers,Henry Seton Merriman,english
10045,Dave Darrin's Second Year at Annapolis,H. Irving Hancock,english
10129,Excellent Women,Various,english
10134,John Wesley, Jr.,Dan B. Brummitt,english
10056,Chinese Literature,Anonymous,english
10130,Books for Children,Charles and Mary Lamb,english
10066,Gunman's Reckoning,Max Brand,english
10065,The Constitution of the United States,James M. Beck,english
1013,The First Men In The Moon,H. G. Wells,english
1015,The Oregon Trail,Francis Parkman, Jr.,english
10138,The Atlantic Monthly, Volume 1, Issue 2, December, 1857,Various,english
10060,Discourses,Thomas H. Huxley,english
10058,The Divine Office,Rev. E. J. Quigley,english
10136,The Book of Household Management,Mrs. Isabella Beeton,english
10057,The Secret of the Tower,Hope, Anthony,english
10145,Turkey: A Past and a Future,Arnold Joseph Toynbee,english
10076,Lister's Great Adventure,Harold Bindloss,english
10059,Aunt Jane's Nieces on Vacation,Edith Van Dyne,english
10150,Dracula's Guest,Bram Stoker,english
10142,Maezli,Johanna Spyri,english
10147,America's War for Humanity,Thomas Herbert Russell,english
10038,The Magnetic North,Elizabeth Robins (C. E. Raimond),english
10039,The Works of Aphra Behn, Vol. III,Aphra Behn,english
10140,Rhetoric and Poetry in the Renaissance,Donald Lemen Clark,english
10149,Home as Found,James Fenimore Cooper,english
10139,The Faith of the Millions (2nd series),George Tyrrell,english
10055,Hamburgische Dramaturgie,Gotthold Ephraim Lessing,german
10090,Peaceless Europe,Francesco Saverio Nitti,english
10087,Old Lady Number 31,Louise Forsslund,english
10086,The Minute Boys of the Mohawk Valley,James Otis,english
10063,Happiness and Marriage,Elizabeth (Jones) Towne,english
10112,American Political Ideas Viewed From The Standpoint Of Universal History,John Fiske,english
10111,Boys and girls from Thackeray,Kate Dickinson Sweetser,english
10099,Towards The Goal,Mrs. Humphry Ward,english
10064,Beltane The Smith,Jeffery Farnol,english
10146,Reminiscences of Pioneer Days in St. Paul,Frank Moore,english
10148,The Merry Adventures of Robin Hood,Howard Pyle,english
10151,The Great Events by Famous Historians, Volume 5,Various,english
10097,The Healing of Nations and the Hidden Sources of Their Strife,Edward Carpenter,english
10093,Gutta-Percha Willie,George MacDonald,english
10162,Dio's Rome, Vol. III,Cassius Dio,english
10166,What Germany Thinks,Thomas F. A. Smith,english
10164,The Black Creek Stopping-House,Nellie McClung,english
10073,The Century Vocabulary Builder,Creever & Bachelor,english
103,Around the World in 80 Days,Jules Verne,english
102,The Tragedy of Pudd'nhead Wilson,Mark Twain (Samuel Clemens),english
10085,Moorish Literature,Anonymous,english
10094,A Soldier of Virginia,Burton Egbert Stevenson,english
10095,The Twilight of the Gods, and Other Tales,Richard Garnett,english
10163,Mohammedanism,C. Snouck Hurgronje,english
